p,T,viscosity,Phase
6.86E+07,413,0.0002093,liquid
1.42E+07,428,0.0001054,liquid
2.07E+07,428,0.0001192,liquid
2.76E+07,428,0.0001284,liquid
3.58E+07,428,0.0001388,liquid
4.48E+07,428,0.000154,liquid
5.41E+07,428,0.0001615,liquid
6.11E+07,428,0.0001758,liquid
6.84E+07,428,0.0001843,liquid
1.17E+07,443,9.24E-05,liquid
1.27E+07,443,9.67E-05,liquid
1.69E+07,443,9.97E-05,liquid
2.07E+07,443,0.0001101,liquid
2.78E+07,443,0.0001208,liquid
3.60E+07,443,0.0001182,liquid
4.49E+07,443,0.000139,liquid
5.48E+07,443,0.0001503,liquid
6.21E+07,443,0.0001554,liquid
6.90E+07,443,0.000164,liquid
2.00E+06,293.21,0.000232,liquid
4.00E+06,293.21,0.0002382,liquid
6.00E+06,293.21,0.0002439,liquid
8.00E+06,293.21,0.0002495,liquid
1.00E+07,293.22,0.0002551,liquid
1.30E+07,293.21,0.0002637,liquid
1.60E+07,293.22,0.0002719,liquid
1.90E+07,293.22,0.0002806,liquid
2.20E+07,293.22,0.0002885,liquid
2.50E+07,293.22,0.0002967,liquid
2.80E+07,293.22,0.0003046,liquid
3.00E+07,293.21,0.00031,liquid
2.01E+06,313.1,0.0001968,liquid
4.00E+06,313.11,0.0002023,liquid
6.00E+06,313.1,0.0002075,liquid
8.00E+06,313.1,0.0002126,liquid
1.00E+07,313.1,0.000218,liquid
1.30E+07,313.1,0.0002259,liquid
1.60E+07,313.1,0.0002334,liquid
1.90E+07,313.1,0.0002409,liquid
2.20E+07,313.1,0.0002485,liquid
2.50E+07,313.1,0.0002558,liquid
2.80E+07,313.1,0.0002628,liquid
3.00E+07,313.1,0.0002676,liquid
2.01E+06,333.01,0.0001679,liquid
4.00E+06,333.01,0.0001737,liquid
6.00E+06,333.01,0.0001787,liquid
8.01E+06,333.01,0.0001837,liquid
1.00E+07,333.01,0.0001888,liquid
1.30E+07,333.01,0.0001958,liquid
1.60E+07,333.01,0.0002029,liquid
1.90E+07,333.01,0.00021,liquid
2.20E+07,333.01,0.000217,liquid
2.50E+07,333.01,0.0002239,liquid
2.80E+07,333.01,0.0002306,liquid
3.00E+07,333.01,0.0002348,liquid
2.01E+06,353.12,0.0001452,liquid
4.00E+06,353.12,0.0001504,liquid
6.00E+06,353.12,0.0001557,liquid
8.00E+06,353.12,0.0001606,liquid
1.00E+07,353.12,0.0001654,liquid
1.30E+07,353.12,0.0001724,liquid
1.60E+07,353.12,0.0001792,liquid
1.90E+07,353.12,0.0001857,liquid
2.20E+07,353.13,0.0001922,liquid
2.50E+07,353.13,0.0001987,liquid
2.80E+07,353.12,0.0002047,liquid
3.00E+07,353.12,0.0002087,liquid
100000,298.5,0.0002156,liquid
1.00E+06,298.5,0.0002183,liquid
2.00E+06,298.5,0.0002204,liquid
2.50E+06,298.5,0.0002226,liquid
3.00E+06,298.5,0.0002231,liquid
3.32E+06,298.5,0.0002238,liquid
3.50E+06,298.5,0.0002242,liquid
4.00E+06,298.5,0.0002251,liquid
5.00E+06,298.5,0.0002275,liquid
1.00E+06,322.1,0.0001805,liquid
2.00E+06,322.1,0.0001816,liquid
2.50E+06,322.1,0.0001823,liquid
3.00E+06,322.1,0.0001838,liquid
3.32E+06,322.1,0.0001842,liquid
3.50E+06,322.1,0.0001845,liquid
4.00E+06,322.1,0.0001857,liquid
5.00E+06,322.1,0.000188,liquid
1.00E+06,352.7,0.0001375,liquid
2.00E+06,352.7,0.0001417,liquid
2.50E+06,352.7,0.0001425,liquid
3.00E+06,352.7,0.0001423,liquid
3.32E+06,352.7,0.0001441,liquid
3.50E+06,352.7,0.0001445,liquid
4.00E+06,352.7,0.0001455,liquid
5.00E+06,352.7,0.0001471,liquid
1.00E+06,382.8,0.0001067,liquid
2.00E+06,382.8,0.0001079,liquid
